,HeLa
ARL5A,-1.43009143903499
ARL5B,0.99844810852841
ARL6,0.582727802697695
ARL6IP1,1.20546158052357
ARL6IP4,-0.261438953931465
ARL6IP5,1.14676191181341
ARL6IP6,0.460834487623363
ARL8A,0.954272286434945
ARL8B,1.41529029710962
ARMC1,0.411534205813102
ARMC10,-0.49560414769881
ARMC4,-0.975763070163777
ARMC5,-0.792114998960431
ARMC6,0.169610957597794
ARMC7,0.858826019921528
ARMC8,-0.394257060858199
ARMC9,0.0561457149643266
ARMCX1,-0.247353157890915
ARMCX2,-0.0934928751849725
ARMCX3,0.264357834954044
ARMCX5,-0.327621524435751
ARMCX6,-0.0824299772429613
ARMH3,0.1153347430173
ARMT1,0.538201427969114
ARNT,0.18040237112304
ARNTL,-1.08567067611523
ARNTL2,-3.14320316936801
ARPC1A,-1.41637729110903
ARPC1B,-0.6394099921582
ARPC2,0.781958685800084
ARPC3,1.64665468052678
ARPC4,1.15512497590895
ARPC5,1.74846111086906
ARPC5L,1.42723080522265
ARPP19,0.751832411924854
ARRB1,-0.320214150832401
ARRB2,0.158813381362155
ARRDC1,-0.162818146404443
ARRDC2,-0.980759849865241
ARRDC3,0.0222191813889847
ARSA,0.357541887012202
ARSB,-0.0544496169739018
ARSG,-1.34234784621157
ARSJ,-1.71310363358566
ARSK,0.145178988270577
ARV1,0.418500787493682
ASAH1,0.873933475305059
ASAP1,-0.342172640643243
ASAP2,-0.542170680316378
ASAP3,-1.02413808909519
ASB1,-0.474900314620236
ASB13,-0.249716377096403
ASB3,0.0962114212762532
ASB6,0.18824244856398
ASB7,-0.627567580263019
ASB8,0.337576976586337
ASB9,-0.13544691412816
ASCC1,0.762211346759532
ASCC2,-0.162398417260742
ASCC3,-0.458143106806247
ASF1A,0.821957336601814
ASF1B,1.12580785954757
ASH1L,-1.34543513442498
ASH2L,0.590693497540581
ASIC1,-0.0151752511793213
ASL,-0.132743941070016
ASMTL,0.199676568150102
ASNS,0.688505805386778
ASNSD1,-1.33906768535901
ASPH,0.803649460673238
ASPHD1,0.353078439119981
ASPM,-1.61418271733774
ASPSCR1,-0.137082197153036
ASRGL1,-0.0431314069523903
ASS1,0.602615767055721
ASTE1,-1.15505055030801
ASXL1,-0.54509007743399
ASXL2,-0.489826230186542
ATAD1,0.755829043799718
ATAD2,-0.111173624756699
ATAD2B,-1.66212665056404
ATAD3A,0.0274276842912158
ATAD3B,-0.908331051966781
ATAD5,-1.6295591630616
ATAT1,0.193205926837357
ATE1,-0.0284727099759248
ATF1,0.609915928245344
ATF2,-0.538892401637739
ATF3,0.855209016649897
ATF4,-1.1611180613298
ATF5,-1.67580456426837
ATF6,0.247919100692849
ATF6B,0.295179836968676
ATF7,0.336907245373983
ATF7IP,0.313283660428863
ATG10,-0.597739287951581
ATG101,0.356758655373498
ATG12,0.784231723366204
ATG13,-0.502224324086864
ATG14,-0.471214250187415
ATG16L1,-0.202385818165929
ATG2A,-0.928236250958005
ATG2B,-1.41221535611848
